Library Type,Component Number,Component Name,Package Specification,Component Category,Component Provider,Quantity In Stock,Price,Manufacturer Model Number,Brand,Sales Statistics,Comments
Basic Library,C1034,4.7UH ±10%,603,Inductor_SMD inductor,Provided by Jiali Chuang,22948,Click to view,SDFL1608Q4R7KTF,SUNLORD 顺络  ,Common,
Basic Library,C23172,43KΩ (4302) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,82654,Click to view,0603WAF4302T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17714,47Ω (47R0) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,39175,Click to view,0805W8F470JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25120,49.9Ω (49R9) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,53041,Click to view,0402WGF499JTCE,UNIOHM台湾厚声  ,Common,
Basic Library,C25125,51Ω (51R0) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,27870,Click to view,0402WGF510JTCE,UNIOHM台湾厚声  ,Common,
Basic Library,C25908,5.6KΩ (5601) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,73274,Click to view,0402WGF5601TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C4382,5.6KΩ (5601) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,31830,Click to view,0805W8F5601T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C27592,68Ω (68R0) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,20081,Click to view,0603WAF680JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25130,680Ω (6800) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,55925,Click to view,0402WGF6800TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C68978,BAV70 A4,SOT-23,Diode_switching diode,Provided by Jiali Chuang,10943,Click to view,BAV70,CJ江苏长电  ,Common,
Basic Library,C25798,75KΩ (7502) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,134909,Click to view,0402WGF7502TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C23255,82Ω (82R0) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,42850,Click to view,0603WAF820JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C16072,AO4407A,SOIC-8_150MIL,MOS_FET,Provided by Jiali Chuang,12911,Click to view,AO4407A,AOS  ,Common,
Basic Library,C50254,2.2UF (225) ±10% 50V X7R,1206,Capacitor_chip capacitor,Provided by Jiali Chuang,18506,Click to view,CL31B225KBHNNNE,SAMSUNG 三星  ,Common,
Basic Library,C71035,LM324DT,SOIC-14_150MIL,Op Amp_General Op Amp,Provided by Jiali Chuang,22064,Click to view,LM324DT,ST 意法半导体  ,Common,
Basic Library,C2488,MB10S,0MBS,Diode_rectifier bridge  ,Provided by Jiali Chuang,245903,Click to view,MB10S,LC 立创  ,Common,
Basic Library,C15051,MP1584EN-LF-Z,SOIC-8_EP_150MIL,DC-DC Chip  ,Provided by Jiali Chuang,21968,Click to view,MP1584EN-LF-Z,MPS  ,Common,
Basic Library,C14259,MP2359DJ-LF-Z,SOT-23-6,DC-DC Chip  ,Provided by Jiali Chuang,14205,Click to view,MP2359DJ-LF-Z,MPS  ,Common,
Basic Library,C15879,SMF05CT1G,SOT-363,Diode _TVS Diode,Provided by Jiali Chuang,32151,Click to view,SMF05CT1G,ON 安森美  ,Common,
Basic Library,C7063,RS-485/RS-422/SN75176BDR,SOIC-8_150MIL,RS-485/RS-422,Provided by Jiali Chuang,24925,Click to view,SN75176BDR,TI 德州仪器  ,Common,
Basic Library,C85364,SRV05-4-P-T7,SOT-23-6,Diode _TVS Diode,Provided by Jiali Chuang,12886,Click to view,SRV05-4-P-T7,PROTEK  ,Common,
Basic Library,C35722,SS36-E3/57T,"SMC,DO-214AB",Diode_Schottky diode,Provided by Jiali Chuang,9080,Click to view,SS36-E3/57T,VISHAY 威世  ,Common,SMT Phase IV - Extended Library
Basic Library,C16149,2.7PF (2R7) ±0.25PF 50V C0G,603,Capacitor_chip capacitor,Provided by Jiali Chuang,67716,Click to view,CL10C2R7CB8NNNC,SAMSUNG 三星  ,Common,
Basic Library,C1548,15PF (150) ±5% 50V C0G,402,Capacitor_chip capacitor,Provided by Jiali Chuang,18768,Click to view,0402CG150J500NT,FH 风华  ,Common,
Basic Library,C1794,15PF (150) ±5% 50V C0G,805,Capacitor_chip capacitor,Provided by Jiali Chuang,36607,Click to view,CL21C150JBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C1557,27PF (270) ±5% 50V C0G,402,Capacitor_chip capacitor,Provided by Jiali Chuang,112753,Click to view,0402CG270J500NTN,FH 风华  ,Common,
Basic Library,C28262,68PF (680) ±5% 50V C0G,603,Capacitor_chip capacitor,Provided by Jiali Chuang,27984,Click to view,CL10C680JB8NNNC,SAMSUNG 三星  ,Common,
Basic Library,C1600,200PF (201) ±10% 50V X7R,603,Capacitor_chip capacitor,Provided by Jiali Chuang,90093,Click to view,0603B201K500NT,FH 风华  ,Common,
Basic Library,C53172,220PF (221) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,53533,Click to view,CL21B221KBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C1531,2.2NF (222) ±10% 50V X7R,402,Capacitor_chip capacitor,Provided by Jiali Chuang,79937,Click to view,0402B222K500NT,FH 风华  ,Common,
Basic Library,C1846,10NF (103) ±10% 50V X7R,1206,Capacitor_chip capacitor,Provided by Jiali Chuang,45765,Click to view,1206B103K500NT,FH 风华  ,Common,
Basic Library,C1729,22NF (223) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,61654,Click to view,CL21B223KBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C16772,220NF (224) ±10% 16V X7R,402,Capacitor_chip capacitor,Provided by Jiali Chuang,41823,Click to view,CL05B224KO5NNNC,SAMSUNG 三星  ,Common,
Basic Library,C1042,1UH ±10%,805,Inductor_SMD inductor,Provided by Jiali Chuang,31784,Click to view,SDFL2012Q1R0KTF,SUNLORD 顺络  ,Common,
Basic Library,C20197,1KΩ (102) ±5%,0603_X4,Resistor_chip exclusion,Provided by Jiali Chuang,132448,Click to view,4D03WGJ0102T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25950,11KΩ (1102) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,19925,Click to view,0603WAF1102T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17470,150KΩ (1503) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,131052,Click to view,0805W8F1503T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25755,150KΩ (1503) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,59696,Click to view,0402WGF1503TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C22828,180Ω (1800) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,43113,Click to view,0603WAF1800T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17398,1.8KΩ (1801) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,62539,Click to view,0805W8F1801T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C22827,180KΩ (1803) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,32136,Click to view,0603WAF1803T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25087,200Ω (2000) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,72521,Click to view,0402WGF2000TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C25769,24KΩ (2402) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,80498,Click to view,0402WGF2402TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C6482,EEPROM/AT24C256C-SSHL-T,SOIC-8_150MIL,EEPROM Memory  ,Provided by Jiali Chuang,8876,Click to view,AT24C256C-SSHL-T,ATMEL 爱特梅尔  ,Common,ATML-2EC
Basic Library,C79988,EEPROM/M24C64-RMN6TP,SOIC-8_150MIL,EEPROM Memory  ,Provided by Jiali Chuang,11031,Click to view,M24C64-RMN6TP,ST 意法半导体  ,Common,
Basic Library,C25190,27Ω (27R0) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,31066,Click to view,0603WAF270JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17590,270Ω (2700) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,41964,Click to view,0805W8F2700T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C61063,XL1509-5.0E1,SOP-8_150MIL,DC-DC Chip  ,Provided by Jiali Chuang,11445,Click to view,XL1509-5.0E1,XLSEMI 芯龙  ,Common,
Basic Library,C9634,D882,SOT-89,Transistor,Provided by Jiali Chuang,32523,Click to view,D882,CJ江苏长电  ,Common,
Basic Library,C29981,EL357N(C)(TA)-G,SOP-4_P2.54,Patch Optocoupler,Provided by Jiali Chuang,30054,Click to view,EL357N(C)(TA)-G,EVERLIGHT 台湾亿光  ,Common,_
Basic Library,C14289,HT7533-1,SOT-89,LDO_ low dropout linear regulator,Provided by Jiali Chuang,14015,Click to view,HT7533-1,HOLTEK 台湾合泰/盛群  ,Common,
Basic Library,C16106,HT7550-1,SOT-89,LDO_ low dropout linear regulator,Provided by Jiali Chuang,8849,Click to view,HT7550-1,HOLTEK 台湾合泰/盛群  ,Common,
Basic Library,C7972,LMV321IDBVRG4,SOT-23-5,Op Amp_General Op Amp,Provided by Jiali Chuang,4020,Click to view,LMV321IDBVRG4,TI 德州仪器  ,Common,
Basic Library,C17887,300Ω (3000) ±1%,1206,Resistor_chip resistor,Provided by Jiali Chuang,54721,Click to view,1206W4F3000T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25104,330Ω (3300) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,37855,Click to view,0402WGF3300TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17629,330KΩ (3303) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,80753,Click to view,0805W8F3303T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C22980,3.6KΩ (3601) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,27696,Click to view,0603WAF3601T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C23147,36KΩ (3602) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,34631,Click to view,0603WAF3602T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17655,390Ω (3900) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,131665,Click to view,0805W8F3900T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25510,470Ω (471) ±5%,0603_X4,Resistor_chip exclusion,Provided by Jiali Chuang,55339,Click to view,4D03WGJ0471T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C23046,4.99KΩ (4991) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,97299,Click to view,0603WAF4991T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25123,510Ω (5100) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,65703,Click to view,0402WGF5100TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17767,6.2KΩ (6201) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,408538,Click to view,0805W8F6201T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C36871,68KΩ (6802) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,61332,Click to view,0402WGF6802TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17801,68KΩ (6802) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,29507,Click to view,0805W8F6802T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C23241,750Ω (7500) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,261095,Click to view,0603WAF7500T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C14123,MP2451DT-LF-Z,SOT-23-6,DC-DC Chip  ,Provided by Jiali Chuang,11605,Click to view,MP2451DT-LF-Z,MPS  ,Common,
Basic Library,C8308,STM32F103VET6,LQFP-100_14X14X05P,Microcontroller (MCU),Provided by Jiali Chuang,14193,Click to view,STM32F103VET6,ST 意法半导体  ,Common,
Basic Library,C28730,STM32F407VET6,LQFP-100_14X14X05P,Microcontroller (MCU),Provided by Jiali Chuang,7679,Click to view,STM32F407VET6,ST 意法半导体  ,Common,
Basic Library,C1656,27PF (270) ±5% 50V C0G,603,Capacitor_chip capacitor,Provided by Jiali Chuang,18579,Click to view,CL10C270JB8NNNC,SAMSUNG 三星  ,Common,
Basic Library,C1585,33NF (333) ±20% 50V Y5V,402,Capacitor_chip capacitor,Provided by Jiali Chuang,90367,Click to view,0402F333M500NT,FH 风华  ,Common,
Basic Library,C1051,10UH ±10%,1206,Inductor_SMD inductor,Provided by Jiali Chuang,52935,Click to view,CMI321609X100KT,FH 风华  ,Common,
Basic Library,C68035,100UH ±10%,805,Inductor_SMD inductor,Provided by Jiali Chuang,28848,Click to view,MLF2012C101KT000,TDK  ,Common,
Basic Library,C17506,18KΩ (1802) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,26203,Click to view,0805W8F1802T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17606,2Ω (2R00) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,34898,Click to view,0805W8F200KT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C22977,2Ω (2R00) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,11023,Click to view,0603WAF200KT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C1043,2.2UH ±10%,805,Inductor_SMD inductor,Provided by Jiali Chuang,5400,Click to view,CMI201209U2R2KT,FH 风华  ,Common,
Basic Library,C25764,200KΩ (2003) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,35462,Click to view,0402WGF2003TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17958,22Ω (22R0) ±1%,1206,Resistor_chip resistor,Provided by Jiali Chuang,149094,Click to view,1206W4F220JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C22966,270Ω (2700) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,69692,Click to view,0603WAF2700T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17593,27KΩ (2702) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,52191,Click to view,0805W8F2702T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C12084,CAN/SN65HVD230DR,SOIC-8_150MIL,CAN Chip  ,Provided by Jiali Chuang,13891,Click to view,SN65HVD230DR,TI 德州仪器  ,Common,
Basic Library,C8304,STM32F103CBT6,LQFP-48_7X7X05P,Microcontroller (MCU),Provided by Jiali Chuang,14772,Click to view,STM32F103CBT6,ST 意法半导体  ,Common,
Basic Library,C8735,STM32F103RBT6,LQFP-64_10X10X05P,Microcontroller (MCU),Provided by Jiali Chuang,7939,Click to view,STM32F103RBT6,ST 意法半导体  ,Common,
Basic Library,C9865,TPS54331DR,SOIC-8_150MIL,DC-DC Chip  ,Provided by Jiali Chuang,4837,Click to view,TPS54331DR,TI 德州仪器  ,Common,
Basic Library,C7433,OP07CDR,SOIC-8_150MIL,Op amp _ precision op amp  ,Provided by Jiali Chuang,34345,Click to view,OP07CDR,TI 德州仪器  ,Common,
Basic Library,C18876,MP2303ADN-LF-Z,SOIC-8_EP_150MIL,DC-DC Chip  ,Provided by Jiali Chuang,9703,Click to view,MP2303ADN-LF-Z,MPS  ,Common,
Basic Library,C8056,ZMM3V3,LL-34,Diode_Zener diode  ,Provided by Jiali Chuang,54376,Click to view,ZMM3V3,先科ST  ,Common,
Basic Library,C25794,51KΩ (5102) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,36271,Click to view,0402WGF5102TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17733,510KΩ (5103) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,32138,Click to view,0805W8F5103T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17756,56KΩ (5602) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,13628,Click to view,0805W8F5602T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25822,680KΩ (6803) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,5108,Click to view,0603WAF6803T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C5605,74HC14D,SOIC-14_150MIL,Logic Chip_74 Series,Provided by Jiali Chuang,41201,Click to view,74HC14D,NXP 恩智浦  ,Common,
Basic Library,C20638,75Ω (75R0) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,14996,Click to view,0805W8F750JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17807,7.5KΩ (7501) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,39626,Click to view,0805W8F7501T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17837,820Ω (8200) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,47653,Click to view,0805W8F8200T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17828,8.2KΩ (8201) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,69444,Click to view,0805W8F8201T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C1550,1PF (1R0) ±0.25PF 50V C0G,402,Capacitor_chip capacitor,Provided by Jiali Chuang,58860,Click to view,0402CG1R0C500NT,FH 风华  ,Common,
Basic Library,C1549,18PF (180) ±5% 50V C0G,402,Capacitor_chip capacitor,Provided by Jiali Chuang,43998,Click to view,0402CG180J500NT,FH 风华  ,Common,
Basic Library,C1809,30PF (300) ±5% 50V C0G,805,Capacitor_chip capacitor,Provided by Jiali Chuang,26968,Click to view,CL21C300JBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C1814,33PF (330) ±5% 50V C0G,805,Capacitor_chip capacitor,Provided by Jiali Chuang,32073,Click to view,CL21C330JBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C28260,2.2NF (222) ±5% 50V C0G,805,Capacitor_chip capacitor,Provided by Jiali Chuang,14271,Click to view,CL21C222JBFNNNE,SAMSUNG 三星  ,Common,
Basic Library,C1609,2.7NF (272) ±10% 50V X7R,603,Capacitor_chip capacitor,Provided by Jiali Chuang,16091,Click to view,0603B272K500NT,FH 风华  ,Common,
Basic Library,C1538,4.7NF (472) ±10% 50V X7R,402,Capacitor_chip capacitor,Provided by Jiali Chuang,5936,Click to view,0402B472K500NT,FH 风华  ,Common,
Basic Library,C1744,4.7NF (472) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,57284,Click to view,0805B472K500NT,FH 风华  ,Common,
Basic Library,C1596,15NF (153) ±10% 50V X7R,603,Capacitor_chip capacitor,Provided by Jiali Chuang,6918,Click to view,0603B153K500NT,FH 风华  ,Common,
Basic Library,C1532,22NF (223) ±10% 50V X7R,402,Capacitor_chip capacitor,Provided by Jiali Chuang,147443,Click to view,0402B223K500NT,FH 风华  ,Common,
Basic Library,C25334,0.1Ω (R100) ±1%,1206,Resistor_chip resistor,Provided by Jiali Chuang,87942,Click to view,1206W4F100LT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C1615,330NF (334) ±10% 25V X7R,603,Capacitor_chip capacitor,Provided by Jiali Chuang,14617,Click to view,0603B334K250NT,FH 风华  ,Common,
Basic Library,C1740,330NF (334) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,57095,Click to view,0805B334K500NT,FH 风华  ,Common,
Basic Library,C47339,470NF (474) ±10% 10V X5R,402,Capacitor_chip capacitor,Provided by Jiali Chuang,7845,Click to view,CL05A474KP5NNNC,SAMSUNG 三星  ,Common,
Basic Library,C26108,10MΩ (1005) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,25629,Click to view,0805W8F1005T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25752,12KΩ (1202) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,48877,Click to view,0402WGF1202TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17436,120KΩ (1203) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,66291,Click to view,0805W8F1203T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C22810,15Ω (15R0) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,76978,Click to view,0603WAF150JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C13738,16MHZ 9PF 10PPM,SMD-3225_4P,Crystal _ patch passive crystal,Provided by Jiali Chuang,14428,Click to view,X322516MLB4SI,LC 立创  ,Common,Crystal Oscillator
Basic Library,C4197,240KΩ (2403) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,26971,Click to view,0603WAF2403T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17530,2.7KΩ (2701) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,34575,Click to view,0805W8F2701T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25771,27KΩ (2702) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,43384,Click to view,0402WGF2702TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C9683,ULN2803ADW,SOIC-18_300MIL,High Current Driver  ,Provided by Jiali Chuang,3183,Click to view,ULN2803ADW,TI 德州仪器  ,Common,
Basic Library,C2290,White light,LED_0603,Diode_LED,Provided by Jiali Chuang,131245,Click to view,White Light  0603,KENTO  ,Common,"LED,LED,LED"
Basic Library,C10002,LM2596SX-5.0/NOPB,TO-263-5,DC-DC Chip  ,Provided by Jiali Chuang,5077,Click to view,LM2596SX-5.0/NOPB,NS 美国国家半导体  ,Common,
Basic Library,C18229,LM2904DR2G,SOIC-8_150MIL,Op Amp_General Op Amp,Provided by Jiali Chuang,31774,Click to view,LM2904DR2G,ON 安森美  ,Common,
Basic Library,C25774,300KΩ (3003) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,74435,Click to view,0402WGF3003TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C25194,360Ω (3600) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,29575,Click to view,0603WAF3600T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C23151,390Ω (3900) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,49200,Click to view,0603WAF3900T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17614,3.9KΩ (3901) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,35384,Click to view,0805W8F3901T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25826,39KΩ (3902) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,33099,Click to view,0805W8F3902T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C23159,4.3KΩ (4301) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,47899,Click to view,0603WAF4301T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17720,49.9Ω (49R9) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,65562,Click to view,0805W8F499JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25197,5.1Ω (5R10) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,62204,Click to view,0603WAF510KT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C11616,510KΩ (5103) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,21835,Click to view,0402WGF5103TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C23221,62KΩ (6202) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,51181,Click to view,0603WAF6202T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C5613,74HC165D,SOIC-16_150MIL,Logic Chip_74 Series,Provided by Jiali Chuang,8383,Click to view,74HC165D,NXP 恩智浦  ,Common,
Basic Library,C17819,75KΩ (7502) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,11689,Click to view,0805W8F7502T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C9669,ADUM1201ARZ-RL7,SOIC-8_150MIL,Isolator  ,Provided by Jiali Chuang,18889,Click to view,ADUM1201ARZ-RL7,ADI 亚德诺  ,Common,
Basic Library,C21379,CD4051BM96,SOIC-16_150MIL,Logic Chip_4000 Series,Provided by Jiali Chuang,32823,Click to view,CD4051BM96,TI 德州仪器  ,Common,
Basic Library,C6568,CP2102-GMR,QFN-28_5X5X05P,USB Chip  ,Provided by Jiali Chuang,6998,Click to view,CP2102-GMR,SILICON LABS 芯科  ,Common,
Basic Library,C1679,6.8PF (6R8) ±0.25PF 50V C0G,603,Capacitor_chip capacitor,Provided by Jiali Chuang,6927,Click to view,0603CG6R8C500NT,FH 风华  ,Common,
Basic Library,C14857,47PF (470) ±5% 50V C0G,805,Capacitor_chip capacitor,Provided by Jiali Chuang,38865,Click to view,CL21C470JBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C1530,220PF (221) ±10% 50V X7R,402,Capacitor_chip capacitor,Provided by Jiali Chuang,123835,Click to view,0402B221K500NT,FH 风华  ,Common,
Basic Library,C51207,330PF (331) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,45338,Click to view,CL21B331KBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C1537,470PF (471) ±10% 50V X7R,402,Capacitor_chip capacitor,Provided by Jiali Chuang,61150,Click to view,0402B471K500NT,FH 风华  ,Common,
Basic Library,C53175,3.3NF (332) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,25474,Click to view,CL21B332KBANNNC,SAMSUNG 三星  ,Common,
Basic Library,C1739,33NF (333) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,29403,Click to view,0805B333K500NT,FH 风华  ,Common,
Basic Library,C53134,47NF (473) ±10% 50V X7R,805,Capacitor_chip capacitor,Provided by Jiali Chuang,21117,Click to view,CL21B473KBCNNNC,SAMSUNG 三星  ,Common,
Basic Library,C31658,68NF (683) ±10% 50V X7R,603,Capacitor_chip capacitor,Provided by Jiali Chuang,58668,Click to view,CL10B683KB8NNNC,SAMSUNG 三星  ,Common,
Basic Library,C25805,110KΩ (1103) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,53911,Click to view,0603WAF1103T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25862,1.2KΩ (1201) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,80930,Click to view,0402WGF1201TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17471,150Ω (1500) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,54059,Click to view,0805W8F1500T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C22818,16KΩ (1602) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,39112,Click to view,0603WAF1602T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17521,2.2Ω (2R20) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,21921,Click to view,0805W8F220KT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C17955,20Ω (20R0) ±1%,1206,Resistor_chip resistor,Provided by Jiali Chuang,48077,Click to view,1206W4F200JT5E,UNIOHM台湾厚声  ,Common,
Basic Library,C22976,2MΩ (2004) ±1%,603,Resistor_chip resistor,Provided by Jiali Chuang,82879,Click to view,0603WAF2004T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C25767,220KΩ (2203) ±1%,402,Resistor_chip resistor,Provided by Jiali Chuang,72763,Click to view,0402WGF2203TCE,UNIOHM台湾厚声  ,Common,
Basic Library,C17575,24KΩ (2402) ±1%,805,Resistor_chip resistor,Provided by Jiali Chuang,63245,Click to view,0805W8F2402T5E,UNIOHM台湾厚声  ,Common,
Basic Library,C8313,STM32F103VCT6,LQFP-100_14X14X05P,Microcontroller (MCU),Provided by Jiali Chuang,14388,Click to view,STM32F103VCT6,ST 意法半导体  ,Common,
